# hour_of_day,casual_count,member_count,casual_avg_duration,casual_avg_duration_sec,member_avg_duration,member_avg_duration_sec
0,43310,36278,0:22:16,1336,0:11:47,707
1,27977,22515,0:22:06,1326,0:11:49,709
2,18127,13366,0:23:30,1410,0:11:52,712
3,10099,9024,0:27:18,1638,0:13:01,781
4,8028,9904,0:20:51,1251,0:11:42,702
5,13526,37772,0:16:10,970,0:11:05,665
6,32420,113807,0:16:08,968,0:11:16,676
7,60035,225554,0:16:03,963,0:11:12,672
8,85287,290134,0:17:44,1064,0:11:13,673
9,83813,191037,0:23:12,1392,0:11:07,667
10,100896,163868,0:27:11,1631,0:12:04,724
11,128829,192693,0:26:54,1614,0:12:14,734
12,150642,216722,0:25:56,1556,0:11:48,708
13,154717,211113,0:25:34,1534,0:11:59,719
14,162623,213972,0:25:53,1553,0:12:34,754
15,181047,267814,0:23:37,1417,0:12:35,755
16,206706,375767,0:22:18,1338,0:12:49,769
17,222519,428682,0:21:52,1312,0:13:00,780
18,191780,334348,0:21:29,1289,0:12:40,760
19,140938,231047,0:21:11,1271,0:12:23,743
20,101573,159168,0:20:51,1251,0:12:14,734
21,87631,124888,0:20:06,1206,0:12:01,721
22,75815,91057,0:20:31,1231,0:12:09,729
23,54421,57078,0:21:14,1274,0:12:30,750
