# month,casual_count,member_count,casual_avg_duration,member_avg_duration,casual_avg_duration_sec,member_avg_duration_sec
2024-10,216452,399840,0:23:16,0:11:59,1396,719
2024-11,93062,241980,0:19:24,0:11:06,1164,666
2024-12,38406,140006,0:17:36,0:10:45,1056,645
2025-01,24124,114527,0:14:37,0:10:04,877,604
2025-02,27757,124144,0:14:39,0:10:03,879,603
2025-03,85862,212268,0:20:46,0:11:14,1246,674
2025-04,109239,262137,0:21:40,0:11:20,1300,680
2025-05,182770,319845,0:24:12,0:12:08,1452,728
2025-06,292006,386795,0:25:23,0:12:57,1523,777
2025-07,323352,440106,0:24:24,0:13:21,1464,801
2025-08,337878,452439,0:23:36,0:13:06,1416,786
2025-09,265233,449258,0:21:30,0:12:40,1290,760
